threshold,TP,FP,FN,TN,precision,recall,f1_score
0.3,114094,50800,5344,17222,0.6919232961781088,0.955257120849231,0.8025406918672255
0.35,111231,45320,8207,22702,0.7105096741636456,0.9312865252263994,0.8060538644655835
0.4,108418,40951,11020,27071,0.7258400337418924,0.9077345568411304,0.8066605408341
0.45,105427,37032,14011,30990,0.7400515235962107,0.8826922754901386,0.8051027694093171
0.5,102091,33485,17347,34537,0.7530167581282267,0.8547614661999653,0.8006697671500074
0.55,98378,29988,21060,38034,0.7663867379211967,0.8236742075385703,0.7939984826717569
0.6,94033,26599,25405,41423,0.7795029511240152,0.7872955005943848,0.7833798475444336
0.65,88442,23010,30996,45012,0.7935434088216637,0.7404846028901405,0.7660964095456378
0.7,80930,19047,38508,48975,0.809486181821738,0.677590046718743,0.7376888544538551
0.75,70264,14657,49174,53365,0.8274042934020057,0.5882884844018998,0.6876526113358996
0.8,52044,8791,67394,59231,0.8554943700171193,0.43574071903410677,0.5773909570484445
